     2.11           OBSERVATION DATA    M (MIXED)           RINEX VERSION / TYPE
JPS2RIN v.2.0.112   Sergey Smirnov      20170626 120329 UTC PGM / RUN BY / DATE
Sergey Smirnov      Saint-Petersburg State University       OBSERVER / AGENCY
vost_0626n                                                  MARKER NAME
                    JAVAD                                   REC # / TYPE / VERS
  2765332.1835  1615597.8327  5497278.3855                  APPROX POSITION XYZ
-Unknown-           -Unknown-                               ANT # / TYPE
        0.0000        0.0000        0.0000                  ANTENNA: DELTA H/E/N
     1     1                                                WAVELENGTH FACT L1/2
     5    C1    P1    L1    D1    S1                        # / TYPES OF OBSERV
    30.000                                                  INTERVAL
  2017     6    26    11    23   30.0000000     GPS         TIME OF FIRST OBS
  2017     6    26    11    42    0.0000000     GPS         TIME OF LAST OBS
    18                                                      LEAP SECONDS
     7                                                      # OF SATELLITES
   G 2    38    38    38    38    38                        PRN / # OF OBS
   G 4    38    38    38    38    38                        PRN / # OF OBS
   G 5    36    35    35    36    33                        PRN / # OF OBS
   G12    38    38    38    38    38                        PRN / # OF OBS
   G25    38    38    38    38    38                        PRN / # OF OBS
   G29    38    38    38    38    38                        PRN / # OF OBS
   G31    38    38    38    38    38                        PRN / # OF OBS
                                                            END OF HEADER
  21957575.670    21957574.830   115387840.609 6     -2366.116          39.500
  23602059.599    23602060.739   124029721.212 1      2056.131          11.250
  23466389.248    23466387.728   123316712.012 4     -4437.256          28.250
 17  6 26 11 29 30.0000000  0  7G31G 4G29G25G 2G 5G12                0.000100589
  21972913.049    21972913.379   115468436.939 6     -1330.994          36.750
  22721111.433    22721109.533   119400244.035 5      1170.940          30.000
  20291936.589    20291936.639   106634847.312 7       376.968          45.250
  21033231.790    21033230.480   110530380.171 7     -2805.979          43.500
  21971127.518    21971127.018   115459055.196 6     -2381.482          40.000
  23590360.681    23590359.101   123968237.677 2      2043.134          13.750
  23491739.089    23491739.269   123449930.215 4     -4443.958          26.750
 17  6 26 11 30  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000115066
  21980568.357    21980568.667   115508666.865 6     -1351.638          37.000
  22714474.127    22714473.217   119365371.065 4      1153.281          29.500
  20289828.916    20289828.696   106623770.784 7       360.866          44.750
  21049295.752    21049295.002   110614798.148 7     -2822.451          43.500
  21984764.094    21984763.714   115530715.984 6     -2396.498          40.000
  23578733.360    23578734.730   123907130.741 1      2030.268          10.750
  23517126.273    23517127.783   123583339.565 4     -4450.411          28.000
